,qu50_dist_EmbLCos,qu50_dist_EmbLCos_nor,qu50_dist_SpCos,qu50_dist_SpCos_nor
164,0.228329897,1.094984567,0.000466466,0.605446387
165,0.158634216,0.760750214,0.000466526,0.605523751
166,0.361653805,1.734356036,0.000750214,0.973735108
167,0.421827167,2.022924919,0.000479311,0.622118211
168,0.554773256,2.66048451,0.000578851,0.751315179
169,0.552944705,2.651715464,0.000482529,0.626295838
170,0.515675917,2.472988333,0.000589967,0.765743463
171,0.370262921,1.775642129,0.00056532,0.733753675
172,0.148459017,0.711953778,0.000882506,1.145443293
173,0.454458266,2.179411435,0.001522928,1.976674919
174,0.452239007,2.168768698,0.001227379,1.593068235
175,0.439975113,2.10995566,0.001339108,1.738086028
176,0.147634119,0.707997874,0.000756413,0.981780907
177,0.23253572,1.115154117,0.000532687,0.691397184
178,0.337389052,1.61799138,0.000685126,0.889254216
179,0.376198918,1.804108943,0.001061559,1.377843107
180,0.573720172,2.751346814,0.00394091,5.115078137
181,0.540050194,2.589878223,0.002053827,2.665751199
182,0.563263327,2.701199705,0.001549989,2.011797927
183,0.319548279,1.532433723,0.001009196,1.309879313
184,0.222221315,1.065690099,0.004123569,5.35215844
185,0.109855771,0.526827085,0.001869619,2.426659446
186,0.331285506,1.588721065,0.001588851,2.062238898
187,0.506491274,2.428942226,0.001057357,1.372388983
188,0.439748943,2.108871035,0.000601381,0.780558564
189,0.463183314,2.221253489,0.000510335,0.662385889
190,0.491868049,2.358814724,0.000483096,0.627030791
191,0.501507044,2.405039729,0.000565827,0.734411264
192,0.18619138,0.892904041,0.00060603,0.786592914
193,0.31064409,1.489732572,0.000612468,0.794948166
194,0.550291404,2.638991228,0.000784934,1.018799319
195,0.52079168,2.497521611,0.001110405,1.441242457
196,0.131357819,0.629942843,0.000825256,1.071135695
197,0.583296806,2.797272757,0.000876516,1.137668266
198,0.576622903,2.765267225,0.001412034,1.832740214
199,0.449443877,2.155364302,0.001369536,1.777580071
200,0.39842093,1.910677382,0.001170307,1.518992728
201,0.117319345,0.562619589,0.000571728,0.742070246
202,0.501028523,2.402744922,0.001456648,1.890646758
203,0.571584418,2.74110454,0.001034409,1.342604054
204,0.207682431,0.995967062,0.001454353,1.887668266
205,0.497586668,2.386239074,0.001866102,2.422095002
206,0.633335695,3.037240506,0.011783868,15.29479344
207,0.470930159,2.258404455,0.006741256,8.74976791
208,0.255762964,1.226543273,0.002282441,2.962478725
209,0.407026201,1.951945037,0.000408649,0.530403837
210,0.303249687,1.454271787,0.000489444,0.635269998
211,0.123951614,0.594425461,0.000629157,0.816609933
212,0.236373931,1.133560739,0.000541031,0.702228067
213,0.31740889,1.522174013,0.000809729,1.050982516
214,0.29552564,1.417230156,0.001353949,1.757349528
215,0.182178229,0.873658474,0.000946343,1.228299551
216,0.489554316,2.347718927,0.001260936,1.636623859
217,0.579456657,2.778856845,0.002442509,3.170238279
218,0.663405925,3.181446055,0.011339486,14.71801021
219,0.649270788,3.113659237,0.005001634,6.491838156
220,0.582565159,2.793764053,0.002427429,3.150665326
221,0.617629185,2.961917977,0.001991421,2.584751663
222,0.418375015,2.006369693,0.001158357,1.503481355
223,0.19322893,0.926653493,0.001466453,1.903373047
224,0.572697312,2.746441559,0.002556235,3.317847749
225,0.478881657,2.296536858,0.002188236,2.840205787
226,0.54877685,2.631727995,0.007112622,9.231780907
227,0.412186176,1.976690338,0.001747459,2.268103048
228,0.642609015,3.081711873,0.001981944,2.572450874
229,0.656188682,3.146834862,0.001805156,2.342990871
230,0.651314318,3.123459243,0.00150007,1.947006034
231,0.490726918,2.353342288,0.00248006,3.218977255
232,0.514991328,2.4697053,0.001235038,1.603009438
233,0.393411696,1.886654974,0.001310259,1.700642117
234,0.498317271,2.389742777,0.001228631,1.594692867
235,0.227902234,1.092933654,0.003061771,3.97400588
236,0.35865739,1.719986354,0.001617134,2.098947857
237,0.319526643,1.532329963,0.003060132,3.971878385
238,0.313492239,1.503391224,0.00206539,2.680759709
239,0.389864653,1.869644688,0.001416206,1.838155655
240,0.429030061,2.057467295,0.002085268,2.706560421
241,0.523111194,2.508645134,0.001583189,2.05488937
242,0.588487998,2.822167768,0.001654476,2.147416061
243,0.551008403,2.642429687,0.002118826,2.750116045
244,0.528421581,2.534111756,0.001719862,2.232283769
245,0.493958086,2.368837757,0.002608716,3.38596627
246,0.469623536,2.25213838,0.002402633,3.118482129
247,0.459972173,2.205854063,0.004527092,5.875909021
248,0.45404163,2.177413403,0.004639208,6.021429677
249,0.340313077,1.632013908,0.00139755,1.813940894
250,0.551536486,2.644962172,0.002868176,3.722729383
251,0.423475415,2.030829295,0.001978874,2.568466656
252,0.556223735,2.667440463,0.001242548,1.612757233
253,0.369729519,1.773084133,0.006508976,8.448282531
254,0.419585168,2.012173133,0.004264802,5.535471143
255,0.400736839,1.921783611,0.00833419,10.8173062
256,0.681597292,3.268685032,0.018160194,23.57090361
257,0.430655211,2.065260908,0.003243566,4.209964413
