qu50_dist_EmbLCos,qu50_dist_EmbLCos_nor,qu50_dist_SpCos,qu50_dist_SpCos_nor,LMA_g_m2,N_area_mg_cm2,LAI_m2_m2,C_area_mg_cm2,Chl_area_ug_cm2,EWT_mg_cm2,Car_area_ug_cm2,P_area_mg_cm2,Lignin_mg_cm2,Cellulose_mg_cm2,Fiber_mg_cm2,Anth_area_ug_cm2,NSC_mg_cm2,Mg_area_mg_cm2,Ca_area_mg_cm2,Potassium_area_mg_cm2,Boron_area_mg_cm2,Cu_area_mg_cm2,S_area_mg_cm2,Mn_area_mg_cm2
0.069091469,0.347815148,0.001072198,1.387359247,7.39845201,0.004781204,,,6.70221108,0.93842694,,,,,,,,0.006802145,0.006161694,,,,,
0.08506909,0.428248503,0.000692248,0.895727287,4.96487536,0.052980522,,,5.71148081,6.412952736,,,,,,,,0.008130076,0.047970439,,,,,
0.066408753,0.33431002,0.000530511,0.686449175,12.77834346,0.018202801,,,6.43042799,0.73627528,,,,,,,,0.00437154,0.028298636,,,,,
0.062164128,0.312942041,0.001114368,1.441925035,0.60161784,0.004133952,,,1.04714263,6.10144004,,,,,,,,0.002695448,0.000612434,,,,,
0.057278931,0.288349346,0.000324547,0.41994447,0.15267677,0.005210322,,,0.85194608,3.35332899,,,,,,,,0.002045447,0.004122779,,,,,
0.044286132,0.22294196,0.000351518,0.454843437,2.41327478,0.004936783,,,0.66398447,5.79801753,,,,,,,,0.004555712,0.012320123,,,,,
0.05605796,0.282202823,0.000865251,1.119581984,1.5847524,0.00347908,,,0.50637946,6.91241753,,,,,,,,0.003537988,0.002283613,,,,,
0.039047182,0.196568425,0.000413895,0.535554527,4.65176318,0.010001341,,,0.77304632,8.49447125,,,,,,,,0.000509942,0.007675286,,,,,
0.039462477,0.198659074,0.000418276,0.541223199,8.50772941,0.0129115,,,1.1155502,6.58539709,,,,,,,,0.008531633,0.004326826,,,,,
0.061443985,0.309316749,0.000337958,0.437297547,7.16481165,0.035930956,,,17.76794856,6.5750949,,,,,,,,0.008669072,0.010270394,,,,,
0.07560876,0.380624011,0.000401556,0.519589696,17.88403318,0.048786601,,,17.71420005,1.50621968,,,,,,,,0.004855583,0.028326385,,,,,
0.083462268,0.420159558,0.000614136,0.794655252,12.09548694,0.028322892,,,11.522533,6.93048923,,,,,,,,0.004699627,0.021865533,,,,,
0.100402355,0.505438088,0.000226706,0.293344131,0.62020226,0.004657881,,,0.58900551,3.91493584,,,,,,,,0.002911117,0.019613098,,,,,
0.078126609,0.393299181,0.00036788,0.476014191,3.2259569,0.030861497,,,7.65641315,1.41594601,,,,,,,,0.011154267,0.022311753,,,,,
0.076894164,0.387094896,0.000449777,0.58198365,9.97875093,0.016640483,,,4.10389669,4.55272255,,,,,,,,0.006981365,0.00475454,,,,,
0.078330129,0.394323726,0.000718832,0.930124942,0.32559518,0.010043287,,,14.80050425,12.07427318,,,,,,,,0.010849839,0.035042284,,,,,
0.06205672,0.312401337,0.000438094,0.566867191,8.61706753,0.009609476,,,16.90085595,8.97291493,,,,,,,,0.00079958,0.016963844,,,,,
0.054676384,0.275247795,0.000331044,0.428351072,1.77451999,0.016847127,,,3.78373914,5.33494502,,,,,,,,0.006958619,0.21095963,,,,,
0.061664522,0.310426961,0.000336587,0.435523677,9.10062671,0.030340509,,,2.39057324,4.47850181,,,,,,,,0.003835816,0.235493389,,,,,
0.048458397,0.243945669,0.000532627,0.689187105,8.1667567,0.037662324,,,2.80102602,4.80448924,,,,,,,,0.002902666,0.269057433,,,,,
0.066315889,0.337293193,0.000965178,1.223775695,48.05827287,,0.190652245,,6.15271288,5.44585545,1.751591642,,,,,0.046289704,,,,,,,,
0.062635869,0.318576021,0.000667572,0.84643289,19.17499153,,1.519294025,,6.35500297,0.93296355,0.1001849,,,,,0.032694944,,,,,,,,
0.084525555,0.429910459,0.001334429,1.691958888,11.60812416,,0.647216491,,12.1089638,1.48395372,1.091077515,,,,,0.001640623,,,,,,,,
0.185996234,0.94600652,0.000923812,1.171327086,10.12950486,,1.719636616,,13.98844447,7.91006687,1.24941715,,,,,0.717596215,,,,,,,,
0.044020891,0.223897275,0.000633389,0.803090992,27.11513263,,0.534449984,,6.55738461,0.37350165,0.073453861,,,,,0.431754718,,,,,,,,
0.063815862,0.324577654,0.000450194,0.57081318,12.90741362,,1.207965129,,0.62482949,1.84275799,1.269826166,,,,,0.187747625,,,,,,,,
0.053616673,0.272702951,0.000457525,0.580108827,9.16013728,,2.470263857,,12.42405632,3.67454049,2.875795744,,,,,0.047636148,,,,,,,,
0.059268922,0.301451191,0.000442535,0.561101874,1.0099699,,1.301156846,,9.44211004,6.62451896,3.03879622,,,,,0.340170901,,,,,,,,
0.047343254,0.240795343,0.000308454,0.39109734,5.34985492,,2.455675032,,10.0212915,0.7471719,1.566334994,,,,,0.041295504,,,,,,,,
0.090003461,0.457771959,0.000840187,1.065296252,18.59686831,,0.074315751,,6.47152112,13.80355303,0.73703869,,,,,0.211992625,,,,,,,,
0.04098618,0.208462252,0.000633001,0.802599758,39.9075454,,0.250569894,,11.19248783,5.97686808,3.71428255,,,,,1.037715284,,,,,,,,
0.049403697,0.251275086,0.000487745,0.61842503,15.46892036,,0.881753486,,11.35480023,7.07513539,0.509205103,,,,,0.157950624,,,,,,,,
0.122635931,0.623745908,0.001087129,1.378400846,9.23164641,,0.659275416,,6.58174048,7.46718703,0.03298996,,,,,0.363307677,,,,,,,,
0.062923998,0.32004149,0.000444889,0.564087062,8.17009652,,1.457138106,,20.87542582,5.00154327,0.61442023,,,,,0.406693704,,,,,,,,
0.066932499,0.34042937,0.000920236,1.166792624,12.42142672,,0.531556,,12.07289284,1.87939866,1.734708283,,,,,0.688680057,,,,,,,,
0.07615155,0.387318931,0.000599235,0.75978688,4.44542399,,2.720960103,,1.2034887,4.30605529,0.547570603,,,,,0.182029677,,,,,,,,
0.064322114,0.327152533,0.00050208,0.636600665,16.60845777,,2.331140956,,9.35193054,0.32877417,1.248327812,,,,,0.125868028,,,,,,,,
0.075261801,0.382793529,0.000399441,0.506461608,9.3536042,,2.517766588,,1.45781083,2.38774855,0.500494974,,,,,0.435164243,,,,,,,,
0.049867541,0.253634267,0.00035888,0.455033253,2.85016052,,0.009069012,,7.58531905,2.50978186,1.25407867,,,,,0.437864281,,,,,,,,
0.065198958,0.331612301,0.000400424,0.507708585,8.53104964,,0.3508014,,2.31123467,0.09085304,0.83296643,,,,,0.0858238,,,,,,,,
0.065952092,0.335442863,0.000777781,0.986169891,,,2.496528228,,9.12975946,,3.056234829,,,,,0.050903586,,,,,,,,
0.050367832,0.25617883,0.000323176,0.409764208,47.64459604,,0.776468453,,3.1804551,1.938803,0.16714675,,,,,0.121873151,,,,,,,,
0.060693115,0.308694865,0.000485599,0.615704353,9.21278751,,1.898104393,,1.21221558,1.42378226,1.053891358,,,,,0.141215738,,,,,,,,
0.062765092,0.319233269,0.000323176,0.409764208,15.45843628,,2.530737153,,7.44005086,2.96791795,1.436981047,,,,,0.15064285,,,,,,,,
0.186976403,0.950991814,0.000558436,0.708056227,1.80842884,,1.964252854,,13.03513066,2.41687065,0.84560036,,,,,0.738066336,,,,,,,,
0.087089002,0.442948558,0.000364572,0.462250605,8.59554794,,0.977438097,,4.62724834,5.81740797,0.865927781,,,,,0.298722918,,,,,,,,
0.057465643,0.292279426,0.000577897,0.732731258,10.56891706,,0.506487698,,8.72115369,4.20314206,1.504980863,,,,,0.19190789,,,,,,,,
0.110086828,0.559919172,0.000288576,0.365893289,12.61162796,,0.339032997,,8.90000553,7.5481165,2.071829377,,,,,0.209825247,,,,,,,,
0.051813424,0.263531338,0.000456095,0.578295042,8.31359879,,0.879206975,,12.30982299,2.68723926,3.48809652,,,,,0.445966863,,,,,,,,
0.051629871,0.262597761,0.000420809,0.533555018,1.61110182,,1.774496999,,2.6811559,0.01848339,1.94731504,,,,,0.281147366,,,,,,,,
0.180614382,0.918633561,0.00050205,0.636562878,31.02072301,,1.604658637,,0.9679336,16.95875873,1.64100478,,,,,0.320235321,,,,,,,,
0.045613855,0.231999344,0.000498176,0.631650544,4.54278692,,1.306931895,,3.45322367,4.35530647,0.4651733,,,,,0.467236327,,,,,,,,
0.151917875,0.772678547,0.000470757,0.596886336,23.46901969,,1.139604346,,18.69168002,5.5165421,1.087450405,,,,,0.249694064,,,,,,,,
0.128219634,0.652145515,0.000439703,0.557512092,5.4886866,,0.42417904,,14.45954756,3.18046625,0.8218184,,,,,0.437719654,,,,,,,,
0.057602614,0.292976085,0.000427425,0.541943773,1.75494795,,2.048695405,,23.12514952,4.47732367,1.79822815,,,,,0.43569179,,,,,,,,
0.054574519,0.277574712,0.000932872,1.182814389,12.06014743,,0.5122007,,14.45615313,4.09588869,3.025742799,,,,,0.600778277,,,,,,,,
0.067945391,0.345581098,0.000481308,0.610262999,3.35100139,,0.951005897,,2.39469912,1.3793163,0.910595032,,,,,0.455523042,,,,,,,,
0.050811768,0.258436756,0.000392735,0.497959492,9.44257599,,2.012235851,,5.44653519,4.53177816,0.797221099,,,,,0.291564865,,,,,,,,
0.049461067,0.251566876,0.000450045,0.570624244,6.17757446,,0.729308389,,4.83725497,3.56190424,0.648517997,,,,,0.109652522,,,,,,,,
0.046781212,0.237936708,0.000412345,0.522823458,1.11875544,,0.267837119,,3.49310597,0.86027301,0.19024418,,,,,0.27930991,,,,,,,,
0.059090555,0.300543988,0.000305623,0.387507557,2.56903286,,0.3700717,,1.28451097,1.6845195,0.37251339,,,,,0.024708527,,,,,,,,
0.058883876,0.299492785,0.001167387,1.480161729,,,1.820929694,,3.89634482,,0.949570346,,,,,0.138168194,,,,,,,,
0.067092448,0.341242896,0.000711769,0.902471282,54.43475338,,1.103987044,,2.15741892,6.17295362,0.478272485,,,,,0.170162763,,,,,,,,
0.066369861,0.337567703,0.000639319,0.810610641,0.4421001,,2.086632818,,9.42774448,0.79692789,1.748794467,,,,,0.195848524,,,,,,,,
0.072870195,0.370629436,0.000495255,0.6279474,1.16141214,,1.443758002,,11.03629423,3.06077158,1.719548559,,,,,0.289877894,,,,,,,,
0.168310314,0.85605311,0.001680404,2.13063029,194.2504473,,0.718263097,,17.02832493,17.20874673,0.08107576,,,,,0.5267767,,,,,,,,
0.168385237,0.85643418,0.000545233,0.691316505,13.55548866,,0.167418343,,8.96721158,2.9193023,0.201959827,,,,,0.219812941,,,,,,,,
