,qu50_dist_EmbLCos,qu50_dist_EmbLCos_nor,qu50_dist_SpCos,qu50_dist_SpCos_nor
119,0.493648082,2.367351095,0.001342177,1.742070246
120,0.502500281,2.409802921,0.001285225,1.668149466
121,0.408403546,1.958550263,0.001074672,1.394863067
122,0.266519278,1.27812652,0.001379609,1.790654495
123,0.212525785,1.019193973,0.001417816,1.840244469
124,0.301718742,1.446929948,0.002222717,2.884960545
125,0.541310117,2.595920341,0.003000557,3.894553613
126,0.444749385,2.132851281,0.00342086,4.440082005
127,0.386597663,1.853977428,0.003182054,4.130125329
128,0.698788419,3.35112723,0.003517777,4.565874981
129,0.515218079,2.470792713,0.003500998,4.544097168
130,0.383121163,1.837305435,0.004868686,6.319278973
131,0.372247428,1.785159079,0.005561084,7.21797153
132,0.415881604,1.994412227,0.00366354,4.755067306
133,0.377979159,1.812646315,0.001711726,2.221723658
134,0.424293071,2.034750469,0.001113415,1.445149311
135,0.320254892,1.535822375,0.000766009,0.994236423
136,0.26946035,1.292230799,0.000805199,1.045102893
137,0.409079462,1.961791706,0.002313286,3.002514312
138,0.472122371,2.264121858,0.00228706,2.968474393
139,0.624848083,2.996537101,0.001367569,1.775027077
140,0.657726303,3.154208716,0.000508964,0.660606529
141,0.639353767,3.066100924,0.000493824,0.640956212
142,0.24181217,1.159640491,0.001683414,2.184976017
143,0.278831035,1.337169088,0.001188785,1.542975398
144,0.253386199,1.215145199,0.000887126,1.15143896
145,0.263277233,1.262578885,0.001181632,1.533691784
146,0.233866423,1.121535672,0.001053631,1.367553768
147,0.246101081,1.180208504,0.000792652,1.028817886
148,0.236384362,1.133610762,0.000791252,1.026999845
149,0.447461039,2.145855355,0.000581741,0.755067306
150,0.520458251,2.495922614,0.000403613,0.523866625
151,0.533728376,2.559561156,0.000576943,0.748839548
152,0.476957589,2.287309751,0.000641882,0.833127031
153,0.556350753,2.668049592,0.000756651,0.982090361
154,0.5528543,2.651281913,0.000614733,0.797887978
155,0.535646319,2.568758893,0.00053376,0.692789726
156,0.482269764,2.312784948,0.000758916,0.985030172
157,0.38676694,1.854789218,0.000336915,0.437296921
158,0.513319716,2.461688875,0.000281751,0.365697045
159,0.488856971,2.344374725,0.000289083,0.375212749
160,0.498744771,2.391792904,0.000263691,0.342255918
161,0.519059643,2.489215414,0.000332773,0.431920161
162,0.350600302,1.681347583,0.001827419,2.371886121
163,0.36865598,1.767935841,0.002315015,3.004757852
164,0.426642329,2.046016627,0.002394021,3.10730311
165,0.334341794,1.603377875,0.001587778,2.060846356
166,0.394434035,1.891557728,0.000379354,0.4923797
167,0.522977203,2.508002562,0.000223219,0.289726133
168,0.350744694,1.682040034,0.000285029,0.369952035
169,0.505080834,2.422178287,0.000274003,0.355639796
170,0.480968863,2.306546314,0.000249356,0.323650008
171,0.382344872,1.833582635,0.00027886,0.361944917
172,0.265830755,1.274824622,0.000767708,0.996441281
173,0.150168777,0.720153142,0.000260264,0.33780752
174,0.246063709,1.180029282,0.000266224,0.345543865
175,0.277464122,1.330613885,0.000264406,0.34318428
176,0.213479131,1.023765865,0.000260979,0.338735881
177,0.126118928,0.604819088,0.000286579,0.371963484
178,0.419355631,2.011072357,0.000680596,0.883374594
179,0.489740163,2.348610181,0.000671297,0.871305895
180,0.267654747,1.283571801,0.000231892,0.300982516
181,0.136831105,0.65619067,0.00025773,0.334519573
182,0.102652401,0.492282422,0.000283599,0.368095312
183,0.229108691,1.098719373,0.000273556,0.35505957
184,0.268734694,1.288750821,0.0004614,0.598870494
185,0.447028697,2.143782004,0.001248688,1.620725669
186,0.479009777,2.297151275,0.000907511,1.177897261
187,0.419377297,2.011176261,0.000593424,0.770230543
188,0.461382002,2.212615073,0.000754923,0.97984682
189,0.624378651,2.994285885,0.001163602,1.510289339
190,0.481483787,2.309015699,0.002321631,3.013345196
191,0.527330473,2.528879213,0.002902985,3.767909639
192,0.552894518,2.651474785,0.001852542,2.404494817
193,0.449024677,2.153353979,0.000966638,1.254641807
194,0.359209895,1.722635962,0.000522166,0.677742534
195,0.522853419,2.507408941,0.000645399,0.837691475
196,0.484622508,2.324067828,0.000807494,1.048081386
197,0.371625125,1.782174751,0.000418782,0.543555624
198,0.579156309,2.77741649,0.001237363,1.606026613
199,0.424337536,2.034963707,0.001928568,2.503171902
200,0.592152819,2.839742877,0.002610207,3.387900356
201,0.466262937,2.236022206,0.002675086,3.472110475
202,0.511893272,2.454848187,0.002416372,3.136314405
203,0.471752226,2.262346782,0.002242178,2.910219712
204,0.358580232,1.719616332,0.001416802,1.83892929
205,0.556343332,2.668014005,0.002113163,2.742766517
206,0.412411779,1.977772248,0.002429128,3.152870184
207,0.286433935,1.373629747,0.002254754,2.926543401
208,0.326024711,1.563492263,0.003144681,4.081618443
209,0.2882379,1.382280884,0.002296329,2.98050441
210,0.323327094,1.550555504,0.002003998,2.601075352
211,0.250306576,1.200376482,0.001352787,1.755840941
212,0.363728672,1.744306323,0.000486553,0.631517871
213,0.353671402,1.696075424,0.000335097,0.434937336
214,0.34387657,1.649103086,0.000318229,0.413043478
215,0.33065632,1.585703722,0.001437843,1.866238589
216,0.689801693,3.30803026,0.00226754,2.943137862
217,0.419475913,2.011649186,0.001814514,2.355136933
218,0.411955327,1.975583274,0.002183735,2.834364846
219,0.438883811,2.104722188,0.002092779,2.716308216
220,0.400407404,1.920203765,0.002344131,3.042549899
221,0.391711116,1.878499629,0.002469748,3.205593378
222,0.327285796,1.569539955,0.000611335,0.793478261
223,0.213694006,1.024796324,0.000231951,0.301059879
224,0.222224027,1.065703104,0.000244677,0.317576977
225,0.359542698,1.724231958,0.000258774,0.335873433
226,0.302557796,1.450953739,0.000242591,0.314869256
227,0.212290198,1.018064184,0.000249207,0.323456599
228,0.20561412,0.986048218,0.000253767,0.329374903
229,0.150579274,0.722121733,0.000254095,0.329800402
230,0.281418055,1.349575468,0.000258535,0.33556398
231,0.173045814,0.829862836,0.000250787,0.325506731
232,0.196783751,0.943701082,0.000244379,0.317190159
233,0.165445745,0.793415755,0.000246584,0.320052607
234,0.131914467,0.632612317,0.000256151,0.332469441
235,0.138741136,0.665350462,0.000289023,0.375135386
236,0.203059107,0.973795335,0.000262707,0.340979421
237,0.163554251,0.78434486,0.000270426,0.350997989
238,0.202672213,0.971939938,0.000286967,0.372466347
239,0.174748212,0.838026899,0.000295579,0.383645366
240,0.109495491,0.525099316,0.000269711,0.350069627
241,0.144023061,0.690680594,0.000279874,0.363260096
